,Stocks,Bonds,Gold
2015-07-28,612904704.0,1571799.0,284424.0
2015-07-29,571805824.0,1118016.0,290789.0
2015-07-30,505772768.0,863300.0,232304.0
2015-07-31,639821952.0,1740845.0,195370.0
2015-08-01,639821952.0,1740845.0,195370.0
2015-08-02,639821952.0,1740845.0,195370.0
2015-08-03,546378688.0,2280383.0,117369.0
2015-08-04,546188992.0,1101171.0,121012.0
2015-08-05,581278336.0,2292646.0,127614.0
2015-08-06,612047808.0,1282491.0,100683.0
2015-08-07,529758816.0,1939296.0,184393.0
2015-08-08,529758816.0,1939296.0,184393.0
2015-08-09,529758816.0,1939296.0,184393.0
2015-08-10,537315072.0,1282658.0,161050.0
2015-08-11,562224960.0,1557071.0,205248.0
2015-08-12,632624384.0,1125771.0,208032.0
2015-08-13,502547936.0,924276.0,140071.0
2015-08-14,448693824.0,2492502.0,108516.0
2015-08-15,448693824.0,2492502.0,108516.0
2015-08-16,448693824.0,2492502.0,108516.0
2015-08-17,426348832.0,898472.0,98907.0
2015-08-18,444318624.0,1185025.0,126226.0
2015-08-19,571510720.0,1483059.0,171503.0
2015-08-20,674778240.0,1680289.0,206851.0
2015-08-21,1064603968.0,3781830.0,206476.0
2015-08-22,1064603968.0,3781830.0,206476.0
2015-08-23,1064603968.0,3781830.0,206476.0
2015-08-24,1333636096.0,5195096.0,284498.0
2015-08-25,1051579904.0,5822364.0,216353.0
2015-08-26,1029073600.0,2998372.0,226632.0
2015-08-27,924566976.0,2920207.0,156610.0
2015-08-28,723537984.0,2977928.0,159668.0
2015-08-29,723537984.0,2977928.0,159668.0
2015-08-30,723537984.0,2977928.0,159668.0
2015-08-31,764800512.0,3393162.0,103721.0
2015-09-01,870270848.0,2812372.0,134517.0
2015-09-02,733017536.0,2110724.0,117689.0
2015-09-03,632777984.0,2730756.0,117689.0
2015-09-04,665523776.0,1324303.0,114046.0
2015-09-05,665523776.0,1324303.0,114046.0
2015-09-06,665523776.0,1324303.0,114046.0
2015-09-07,,,123313.0
2015-09-08,683794752.0,1303352.0,161010.0
2015-09-09,667063872.0,4653710.0,204970.0
2015-09-10,668667584.0,2061001.0,127481.0
2015-09-11,589094912.0,1539889.0,131012.0
2015-09-12,589094912.0,1539889.0,131012.0
2015-09-13,589094912.0,1539889.0,131012.0
2015-09-14,546577984.0,988263.0,81449.0
2015-09-15,538382912.0,1851707.0,85564.0
2015-09-16,592044160.0,1722635.0,138641.0
2015-09-17,704755840.0,2000072.0,154967.0
2015-09-18,1861010816.0,1789081.0,162923.0
2015-09-19,1861010816.0,1789081.0,162923.0
2015-09-20,1861010816.0,1789081.0,162923.0
2015-09-21,570821440.0,1018810.0,98548.0
2015-09-22,692638208.0,1575456.0,131386.0
2015-09-23,505085376.0,773522.0,105593.0
2015-09-24,715187264.0,1586801.0,125172.0
2015-09-25,691157952.0,1237129.0,164172.0
2015-09-26,691157952.0,1237129.0,164172.0
2015-09-27,691157952.0,1237129.0,164172.0
2015-09-28,776229504.0,1423773.0,156519.0
2015-09-29,735942336.0,1370888.0,110917.0
2015-09-30,848607744.0,4835374.0,161955.0
2015-10-01,677047424.0,2203398.0,86742.0
2015-10-02,763305600.0,1927703.0,99646.0
2015-10-03,763305600.0,1927703.0,99646.0
2015-10-04,763305600.0,1927703.0,99646.0
2015-10-05,725903680.0,4573017.0,122668.0
2015-10-06,680094976.0,2096363.0,141663.0
2015-10-07,735449408.0,2037215.0,121204.0
2015-10-08,604542976.0,1217442.0,127276.0
2015-10-09,623466560.0,1303790.0,138927.0
2015-10-10,623466560.0,1303790.0,138927.0
2015-10-11,623466560.0,1303790.0,138927.0
2015-10-12,464178464.0,940865.0,116141.0
2015-10-13,567939008.0,1058037.0,152725.0
2015-10-14,631473984.0,856054.0,212199.0
2015-10-15,671347136.0,2465484.0,199703.0
2015-10-16,711579264.0,1351589.0,112634.0
2015-10-17,711579264.0,1351589.0,112634.0
