BTC,0.020948868475859354
ETH,0.014011920307574217
XRP,0.009003024314852464
BCH,0.004374047851216251
ADA,0.004304836785796418
MIOTA,0.0016789050522876185
LTC,0.0014189485810306242
BTG,0.001356970361954233
ETC,0.0011754205490886952
XEM,0.0010045740291209212
DASH,0.0008967782866848173
XMR,0.0008219398594578513
NEO,0.0008001370822529932
EOS,0.0007598451840942318
XLM,0.0004584235656884706
STEEM,0.0003001225024739242
MAID,0.0002081901818725875
STRAT,0.00014558210823293407
GNT,0.0001271207382797174
REP,0.00012326159913681205
