BTC,0.504839110548494
LTC,0.15611149163073992
XRP,0.14738401149151528
BCH,0.10897819815008966
ETH,0.08234885623395427
DASH,0.05650486251576338
ADA,0.05470494227717017
XMR,0.03372017342609835
MIOTA,0.026868405938329412
XEM,0.0267073542571701
ETC,0.022432851739255678
STEEM,0.015305840956731409
MAID,0.008927696486217707
EOS,0.0056737477731314415
NEO,0.004918512452809667
XLM,0.0028233938884218946
BTG,0.0026714526250582195
REP,0.0009539848668309893
STRAT,0.0006079182654073267
DOGE,0.000550269970183649
