BTC,841.4442
ETH,115.1337
XRP,56.3816
LTC,23.4071
BCH,13.8838
DASH,8.8918
XEM,5.9696
XMR,4.732
ETC,4.4417
MIOTA,3.9322
ADA,3.1177
XLM,2.5588
NEO,2.5007
MAID,1.86
DOGE,1.5575
STEEM,1.3434
BTS,1.1969
EOS,1.0621
REP,0.7519
PPC,0.618
BTG,0.5797
NXT,0.4946
STRAT,0.3891
LSK,0.2424
BCN,0.1716
GNT,0.1643
WAVES,0.0761
FCT,0.0563
EMC,0.0413
